feature,importance
max_power_bhp,0.7202343161244906
car_age,0.18851796629469791
km_driven,0.03267118500057825
engine_cc,0.01388020180224608
mileage_kmpl,0.011712294924147918
brand_Volvo,0.003931320898498359
brand_Mercedes-Benz,0.002899176469574376
brand_Toyota,0.002775605808094913
brand_Land,0.0026348919629341654
seller_type_Individual,0.0023563672052654776
seller_type_Dealer,0.0021377375344499047
fuel_Diesel,0.001754920466612586
fuel_Petrol,0.001683436632541966
seats,0.0016733050757628096
brand_Tata,0.0015395259602964278
